__label__1 , 货已 收到 质量 不错 京东 服务
__label__1 , 不错 大小 合适 无色差
__label__1 , 手机 配置 中规中矩 华为 品牌 中档 电池容量 太小 耐用 希望 改进
__label__1 , 鞋底 好软 走起路来 轻巧 一点 费力
__label__1 , 满意 宝贝 真的 喜欢 不错
__label__1 , 新股 女朋友 新手机 开心 哈哈哈哈
__label__1 , 超级 柔软 超级 舒适 超级 好看 走线 设计 质量 商场 专柜 800 肯定 买不来 质量 惊喜 追评 潮流 时尚 客服 态度 点个 快递 不错 速度 很快 态度 满意 购物
__label__2 , 十二 手机卡 插进去 中国移动 四个 显示 英文 下载 微信 英文 客服 出个 所以然 退货 玩意 音乐 声音 杂音 3699 玩意 气死我了 电池 续航 不说 酷派 大神 待机 小时 百分之 mta9 真的 华为
__label__2 , 半个 降价 200 京东
__label__2 , 东西 快递 电话 短信 显示 签收 打电话 快递 丢件 真的 搞不懂 办法 申请 售后 退款 快递 找到 家里 赔款 售后 撤销 办法 愉快 网购 选择 京东 快递 想到 贵重物品 丢失
__label__2 , 一颗
__label__2 , 三双 袜子 一双
__label__1 , 
__label__1 , 鞋子 收到 尺码 合适 满意 价钱 质量 鞋子 性价比 穿着 挺舒服
__label__1 , 第四次 一件 真的 一如既往 买家 放心
__label__1 , 妈妈 礼物 收到 喜欢 感觉 很棒 不卡 小米 好太多
__label__2 , 一分 歪货
__label__1 , 手机 大王 不错
__label__2 , 这款 脚臭 网站 价位 啥事 不知 假货 店家 却说 质量
__label__1 , 没想到 尺寸 正好 老板 服务 热心 老板 大吉大利
__label__1 , 家里 老人 信号 不错
__label__2 , 优点 颜值 系统 智能 屏幕 缺点 三等奖 打开 网页 下载 软件 读写 速度慢 耗电 屏幕 网络 图片 质量 拍照 像素 退换货 申请 换货 五天 检测 换货 实在 太慢 太慢 太慢 hellip 不幸 收到 三等奖 活动 入手 一分钱 一分货 王者 荣耀 手机 王者 荣耀 一等奖 2k 屏幕 渲染 画面 闪存 肯定 性价比 三等奖 日常 基础 足够 三等奖 多余 性价比 买到 ufs2.1 高通 骁龙 手机 一等奖 推荐
__label__1 , 鞋子 超级 质量 超级 同学 连接 好几双 满分 101
__label__1 , 眼光 不错 满意 购物
__label__1 , 同事 配套 8g 内存 显卡 不用 插线 省事 死机 后续 追评
__label__2 , 手机 升级 特别 二于 手机
__label__1 , 一段时间 拍照 炸天 外观 不错
__label__2 , 衣服 不好 毛毛 图案 图案 不好 感觉 衣服
__label__2 , 垃圾 手机 神吹 厉害 打开 网页 显示 好多
__label__2 , 刚买 降价 感觉
__label__2 , 发票 愉快 购物 手机 刚刚 几天 评价
__label__1 , 合脚 质量 不错 穿着 舒服
__label__1 , 质量 客服 服务态度 开心
__label__1 , 鞋子 穿着 舒服 轻便 舒适 发货 很快 服务
__label__1 , 鞋子 七十五 穿着 多备 一套 鞋带 包装盒 实在 散开
__label__1 , 手机 好看 家里 小妹 上学 小米 手机 耐用 实惠
__label__2 , 垃圾 要死 手机 低部 曝光 玩游戏 喜欢
__label__1 , 第一眼 看中 快递 实物 颜色 更好 大气 上档次 亲们 放心 购买
__label__1 , 裤子 大小 合适 颜色 不错 面料 样式 新颖 店家 服务态度 还会来
__label__1 , 本本 cool 太久 没用 电脑 一用 习惯 orz 第三方 模糊 还好 游戏 下载
__label__1 , 鞋子 质量 款式 时尚 大方 皮质 柔软 上脚 舒服 老公 特别 喜欢
__label__1 , 单位 默认 好评 希望
__label__2 , 6488 第三天 6288 5888 京东 铁粉 不爽 不爽
__label__1 , 
__label__2 , 垃圾 战斗机 不到 一个月 两侧 按键 正面 失灵 一星 不想
__label__1 , 电脑 不错 开机
__label__2 , 感觉 不值 后悔 算了
__label__2 , 差评 没货 显示 次日 到货 耽误
__label__1 , 不错 不卡
__label__2 , 漏光
__label__2 , 一分 不想 派送 人员 垃圾 不到 一个月 客户 忽悠 垃圾 手机 一点 成熟 百分之 电量 百度 情况 办法 解决
__label__1 , 轻巧 透气
__label__2 , 信号 不好
__label__2 , 收到 激活 手机 保修期 一个月 肯定 二手
__label__1 , 大买 这款 穿上去 看着 庸肿 rsquo 脚行 偏大 建议 购买 这款 lsquo 鞋子 总体 不错
__label__1 , 关注 MIX2S 好久 昨天晚上 终于 下单 心心念念 好久 手机 把玩 手机 太棒了 出色 京东 快递 速度
__label__2 , 电话 一点 不好 这才 一个多月 玩个 游戏 能卡 死机 慎重
__label__2 , 电池 耐用 双卡 双待 4G 支持 4G
__label__1 , 原厂 正品 物流 很快 机子 运行 流畅 手感 不错 支持 京东
__label__1 , 裤子 收到 室友 好看 质量 不错 款式 喜欢 面料 舒服 很显 气质
__label__1 , 宝贝 收到 物流 裤子 质量 料子 柔软 掉色 码数 正规 合身 满意
__label__2 , 翻新
__label__2 , 电脑 运行 流畅 电脑 蓝屏 网页 玩游戏 京东 你长 点心 8000 元钱花 提心吊胆
__label__2 , 天才 发现 关机 闹钟 提示 只能 出门 手机 手机 送人 只能 选择 回来 维修 真是太 心塞
__label__2 , 下单 赶上 出急 出差 回来 电脑 第一次 打开 发现 声音 很大 杂音 不论是 插入 耳机 外放 售后 电话 不论是 反正 超过 时间 试下 软件 电脑 出厂 检查一下 质量 东西 简单 设备 出错 检查 软件 我会 笔记本 干脆 组装 一台 算了 反正 一台 电脑
__label__2 , 物流 太慢 送上门
__label__1 , 购买 商品 京豆 时间 评价 只能 复制粘贴 星级 代表 产品 参考
__label__2 , 软件 广告 卸载 设置 停用 自动 启动 外出 微信 付款 流量 更新 软件 几天 时间 流量 几十块 广告 ----- 打个 贪吃蛇 游戏 要死
__label__2 , 几天 降价 不爽 一场 购物 摄像头 摄像头 尘点 影响
__label__2 , 拆开 两侧 擦痕 情况 不想 追究 懒人 懒得 麻烦 激活 期间 感觉 发现 体验 实体 店里 区别 信号 网速慢 通话 不到 序列号 网上 一查 能查 激活 日期 情况 评价 类似 评价 没当回事 身上 应验 只能 后悔 贪便宜 没钱 用个 苹果
__label__2 , 手机 不错 一星 京东 降价 价格 保护 收货 第九天 感觉 京东 越来越 恶心 hellip hellip
__label__2 , 东西 不错 售后 差劲 一星 快递 物流 一星 不想 评价 理睬 失败 购物 体验
__label__1 , 鞋子 质量 轻松 舒适 好看 透气 实体店 便宜 实惠 还会 谢谢 店家 发货
__label__2 , 真的 努比亚 失望 跳屏 跳屏 跳屏 真的 系统 原因 原因 跳屏 电话 自动关机 跳得 真的 没法 电量 跑得快 一会儿 没得 充满 早上 晚上 用用 微信 刷个 微博 京东 退换货 维权 真的 太难 七天 退货 硬是 七天 售后 问着 回到 回答 补过 贪便宜 一份 一份 真的 第一次 努比亚 体验 内心 努比亚 失望 真的 国产手机 售后服务 态度 真的 多钱 外国人 商品 真的 反思 建议 努比亚 朋友 慎重 不信 板块 用户 手机 影响 建议 慎重
__label__2 , 客服 华为 p20 活动 优惠 客服 东西 没收 半年 不买
__label__1 , 鞋子 好看 一款
__label__2 , 质量 不用 手机 接电话 几天 听筒 杂音 算了 懒得
__label__1 , 黑色 刘海 P9 同事 V10 一点 人脸识别 一点 戴眼镜 识别 指纹识别 特别 安卓 6G 内存 到哪去 版本 后悔 没买 128 建议 128 资料 转移 压力 下滑 Home 下拉菜单
__label__1 , 还好 物流 实在 不好
__label__1 , 不错
__label__1 , 第二次 衣服 款型 漂亮 宽松 透气 质量 更是 没得说
__label__2 , 搞错 几天 400 块钱 退钱
__label__2 , 真的 搞不懂 京东 JIMI 助手 商家 信息 看不到 回复 真的 体验 极差 生气
__label__1 , 宝贝 收到 价格 实惠 质量 不错
__label__2 , 机器 开机 速度慢 电脑 有时候 键盘 无缘无故 不好 出差 在家 回来 客服 告诉 我过 第一次 京东 东西 失望
__label__2 , oppo 真心 恶心
__label__2 , 只能 电池 受用 自带 软件 卸载 死机 应用软件 闪退 不想 第一次 小米
__label__2 , 手机 不好 特别 不好 一点 不好 卡死 屏幕 贴膜 买回来 第二天 发现 贴膜 朋友 发现 贴膜 贴膜 哪有 手机 买回来 原装 手机 出厂 贴膜 深资 华为 华为 手机 不用 真的 感到 寒心 华为 变得 手机 几百回 没坏 轻轻 更气 售后 特别 坑换个 外屏 玻璃 550 贴膜 用户 消费 真的 感到 寒心 生气 愤怒 难过 深爱 华为 很多很多年 华为 不想 说出 伤害 华为 受害者 请谅解 谢谢
__label__2 , 手机电池 耐用 售后 客服 服务 很差 满意 像素
__label__2 , 京东 真的 辜负 信任 全新 机么 好意思 开机 手机 照片 照片 逗我 全新 机么 翻新 糊弄人
__label__1 , 风扇 声音
__label__2 , 耳机 缩水
__label__2 , 
__label__1 , 速度 很快 满意
__label__2 , 垃圾 手机 千万别 一点 不好 卡死
__label__2 , 说好 七天 理由 退货 几天 鞋底 清理
__label__1 , 
__label__1 , 物流 速度 很快 第二天 箱子 表面 破损 还好 没事 检查 确实 固态 三星 郁闷 acute 试玩 游戏 确实 散热 hellip 真的 hellip 日常 屏幕 比例 调过 字体 看着 字体 希望 后续
__label__1 , 手机 一般般 千零蚊 货是 贵点
__label__2 , 上手 礼拜 晚上 充电 第二天 死机 几次 前几次 强制 关机 重启 砖头 hellip hellip 苹果 京东 物流 很快 三星 真的 失望
__label__2 , 一周 降价 差评
__label__1 , 不错 第一次 京东 指纹 点点
__label__1 , 鞋子 收到 迫不及待 试穿 做工 不错 码数 合脚 鞋底 很软
__label__1 , 分牛 造型 散热 声音
__label__1 , 老人 希望 耐用 买过 品牌 一款 声音 信号 不错
__label__1 , 不错
__label__1 , 料子 弹性
__label__1 , 电脑 收到 第一次 京东 电脑 本次 购买 满意 固态 硬盘 开机 速度 客服 非常热心 购买 耐心 讲解 售后 远程 安装 系统 办公 软件 这台 电脑 喜欢 玩游戏 学习 上网 娱乐 好用 值得 购买 金属外壳 特别 符合
__label__2 , 超慢
__label__2 , 两天 hellip 一点 前置 2400 百万 像素 解释一下 1500 1600 百万 像素 欺骗 消费者 听说 华为 支持 国产 这是 第一次 购买 购买 第二次 光大 同胞 像素 回去 失望 体验 一把 祝你好运
__label__2 , 本来 不想 评价 本次 购物 不想 双十 一买 说好 二十一 发货 二十三 却是 二十五 发货 一点
__label__1 , 感觉 花色 不错 清秀
__label__1 , 很棒
__label__1 , 价格便宜 质量
__label__1 , 满意 那种 短点 完美
__label__1 , 不错 电脑 速度 挺快 按键 舒服
__label__1 , 质地 光滑 清爽 颜色 好看 喜欢
__label__2 , 服务 态差 电脑 键盘 颜色 快捷键 官方 下载 热键 驱动 不行
__label__2 , 怀疑 退货 包装 简陋 没发 几块钱 包装
__label__2 , 手机 不到 送话器 hellip hellip 原因 手机 进水 客服 人员 网址 保修 京东
__label__1 , 鞋子 很适 尺码 上脚 舒服 部部 防图 图图 图片 网布
__label__2 , 一般般 闪光灯 发黄 照相 清晰 配置 吸引
__label__2 , 手机 很快 手机 手机 提示 更新 系统 系统 更新 才刚 手机 没用过 小米 手机 喜欢 雷总 小米 性价比 没得说 小米 心中 裂痕
__label__2 , 服务态度 极差 地址 发错 卖家 不予理睬 拨打 投诉 电话 主动 撤诉 网购 六年 愉快 购物
__label__1 , 京东 物流 真的 很快 明天
__label__2 , 喷子 差评 360 越做越 价钱 就别 鸡蛋里挑 骨头 机子 流畅 n6 系列 电池 半年 过后 电量 低于 自动关机 希望 360 一万五千 毫安 特别版 系列 支持 360 我家 朋友 同事 360 推荐 360 360 忠实 用户 希望 360 越来越
__label__2 , 客服 玩意 热情 完事 不上
__label__2 , 收到 手机 开机 小米 账号 手机 寄过来 质量 京东 上门 取件 回去 运费 扯蛋 真想 骂人
__label__1 , 一如既往 支持 小米 产品
__label__2 , 高有 毛用 切换 程序 流畅 详细 小圆点 魅族 手上 玩出 花儿 努比亚 home 下巴 左右两个 个点 做大点 设计师 脑子里 硬件 系统优化 真心 感人 日常 卡顿 忍受 奉劝 朋友 慎买
__label__1 , 颜值
__label__1 , 又快又好 京东 毛病 点赞 好评 鞋子 舒服
__label__2 , 内存 标的 死机
__label__2 , 色彩 平淡 成像 极差 伤眼 难看 建议 购买
__label__1 , 系统 办公
__label__1 , 老公 外观 不错 便宜 唯一 不好 退出键 不好
__label__1 , 不错 色差 质量 大小 合适 还会 客服 态度
__label__1 , 暂时 过段时间
__label__2 , 物流 太慢
__label__2 , 一买 天天 降价 千万别 一买 天天 降价 千万别 一买 天天 降价 千万别 一买 天天 降价 千万别
__label__1 , 舒服 质量 不错 描述 材质 做工 精细 卖家 服务态度
__label__2 , 味道 很大 特么闻 饲料 看错 饲料 味道 几天 再放 十来天 估计 去掉 快递 还算快 鞋子 样子 好看 质量 奢望 多好 半年
__label__1 , 草木 绿色 没得选 实物 看着 不错
__label__2 , 特意 三天 回来 评论 青春 性能 实在 接受 wifi 接受 能力 极差 两部 手机 青春 网页 打开 下载 APP 更是 电池电量 很快 超出 想象 新机 表现 电池 续航 水平 这台 两年 机子 只能 2G 接受 做工 手感 性能 总体 感觉 手机 不怎么样
__label__2 , 手机 垃圾 一周 wifi 网上 网友 评价 华为 手机 确实 垃圾 方法 总会 显示 网络 拒绝 接入 这是 华为 手机 通病
__label__1 , 朋友 公司 转给 朋友 付款 第二天 大雨 送到 厉害 京东
__label__1 , 电脑 牌子 主机 小巧 没什么 噪音
__label__2 , 肯定 好评 手机 评论 那要 派出所 报案 图片吧 参考
__label__2 , 感觉 像是 买到 假货 运行 内存 华为 玩游戏 半小时 手机 发热 特别 厉害 华为 手机 玩一 厉害 本来 华为 手机 质量 真不错 第一次 努比亚 没想到 真让人 失望 希望 厂家 改善
__label__1 , 看着 不错 好评 希望 质量 好点 褪色
__label__1 , 鞋子 尺码 质量 穿着 合适 满意 hellip hellip
__label__2 , 一个月 屏幕 不灵 有时候 点着 荣耀 手机
__label__1 , 下单 次日 降价 600 大洋 观察 京东 促销 噱头 促销 商品 观察 一段时间 价格体系
__label__1 , 手机 收到 满意 爸爸 足够 支持 华为 国产手机 很棒
__label__1 , 鞋子 喜欢 很漂亮 大爱
__label__2 , 京东 几部 手机 一部 连买 小米 notw3
__label__2 , 手机 真的 不好 电池 没电 退货 手机 激活 检测 手机 定位 可悲 长沙 两个 手机 市场 不到 贴膜
__label__2 , 刚买 降价 188 168 dog
__label__1 , 款式 好看 效果 合适
__label__1 , 质量 确实 不错 老公 洗过 掉色 起球 变形 发现 多余 线头 老公 修身 价格合理 满意
__label__1 , 鞋子 满意 没到 后悔 打开 试试 舒适 轻松 不沉 建议 老板 出点 颜色 鞋根 荧光 更好
__label__2 , 差差 差差 手机 开售 提前 全款 预定 到手 1598
__label__2 , 打电话 有时候 声音 购物
__label__1 , 手机 确实 电池 不好 感觉 拿到 手机 电是 虚电用 完电 电池
__label__1 , 软软 舒适 喜欢
__label__1 , 666 这双鞋 好看 喜欢 京东 服务 质量 快递 喜欢 买买
__label__2 , 续航 白天 指纹 V8 差远了
__label__2 , 明明 发票 几天 一件 事分 几次 办有 效率 太差 hellip hellip
__label__1 , 京东 破财 强哥 地道 免息
__label__2 , 鼠标 毛线 客服 回答 裸机
__label__2 , 不敢恭维 客服 眼能 用针 捅出来 这是 售后 一颗 不想
__label__1 , 产品质量 物流配送
__label__2 , 不到 四天 四天 早上 开机 GG 电源 电脑 电脑店 主板 不到 四天 主板 逗我 主机
__label__2 , 商品 失望 游戏 打着 自动 返回 提示 退出 两次 小心 按到 连续不断 按到 一局 王者 办法 设置 反应迟钝 发现 根本就是 虚拟 不灵 自动化 跳卡 不动 半个 新机 情况 失望
__label__2 , 用户 未填写 评价 内容
__label__1 , 生气 快递 包装 收到 手机 袋子 大洞 包装 用个 纸盒子 申诉 地方 努比亚 手机 向往已久 这是 第一次 听说 努比亚 系统 几分 原因 小米 体验 上要 努比亚 人性化 努比亚 特有 科技 实用 灵敏 繁杂 很能 记得住 关键 真的 实用 东西 边框 一点 彩虹 变得 安兔 真机 好像 软件 原因 流量 更新 系统 网速 特别 无线 很慢 差点 假货
__label__2 , 保证 指定 时间 送到 推出 服务 恶心 多收 块钱 快递费 送货 时间 211 名存实亡 保证 晚上 隔天 早上 原本 京东 好感 客服 一点 会员 膨胀 上个月 微博 曝光 假货 包庇 卖家 事情 京东 真的 恶心 隔壁 假想敌 当回事
__label__2 , 手机 发烫 开个 uc 手机 发烫 电池 耗电量 很快 七点 出门 音乐 新闻 十点 七十六 人脸 解锁 三秒 识别 指纹 解锁 用力 解锁 快递 速度 很快 早上 下单
__label__2 , 差评 差评 差评 手机 买回来
__label__2 , 刚买 几天 降价 400 保价 期限 保价 难受
__label__1 , 
__label__1 , 不错 正品 下次
__label__1 , 不错 不错 轻轻 老婆 喜欢
__label__1 , 
__label__1 , 品质 速度 epsilon
__label__2 , 手机 听筒 滋滋 声音 刚买 一个月
__label__1 , 妈妈 喜欢 质量 不错 正品
__label__1 , 快递 超快 快递 服务态度
__label__1 , 老气 黄色 裤脚 颜色 真心 差评 失误 购物
__label__1 , 电脑 美美 实用 买买
__label__2 , 当天 物流 晚上 八点 派送 速度 满分
__label__2 , 小游戏 双开
__label__2 , 东西 质量
__label__2 , 想象
__label__1 , 鞋子 很帅 穿着 舒服 物流 还好 客服 态度 好评
__label__1 , 真心 不错
__label__2 , 屏幕 感觉 质量 不行
__label__1 , 感觉 不错 段时间 试试看
__label__2 , 老年人 看不清
__label__1 , 用户 未填写 评价 内容
__label__1 , 鞋子 穿着 舒适 全网 鞋子 透气 出汗 运动 必备
__label__1 , 手机 早上 抢购 收到 东西 拆封 内存 新手机 玩个 穿越 火线 真的 无语 拍照 真的 不错 手机 充电 快充 充电 手机 发烫 取卡针 真的 简陋 手机 真的 太硬 还好
__label__2 , 360 手机 N5 网通 6GB 64GB 星空 联通 电信 4G 手机 双卡 双待 yen 1599.00 商品 极品 垃圾 买来 话筒 声音 时大时 发热 更换 手机 换回来 几天 微信 语音 时大时 通话音质 极差 申请 返修 新手机 比旧 手机 几天 折腾 一个月
__label__2 , 垃圾 发票 圣诞节 活动 欺骗
__label__2 , 质量 手机 回来 包装盒
__label__2 , 越想 生气 发个 次品 手机 发现 家里 华为 第一次 烦人 生气 售后 网点 客服 正真 帮忙
__label__2 , 鞋子 质量
__label__1 , 真品 布料 舒适 物超所值
__label__2 , 快递 服务 超级 超级 不好 态度恶劣 脏话 电脑 很卡 店买 一批 电脑 1000 主机 好多 今次 这批 价格比 上次 200 比上 一批 打开 网页 卡顿 反正 差评
__label__1 , 上次 十号 下单 十一号 快递 中午 送到 速度 快递 服务态度
__label__1 , 老人家 口袋
__label__1 , 
__label__1 , 电池 续航 能力 不错 中度 一充
__label__2 , 水货 人脸识别 十次 九次 失败 设置 咨询 人工 服务 三四天 态度 做生意 京东 蛀虫 气愤 几块钱 东西 7000 东西 当作 儿戏 几天 软件 机身
__label__2 , 软件 闪退 一星 快递
__label__1 , 发货 速度 第二天 到货 电脑 还行 一段时间 追评
__label__2 , 灵敏
__label__2 , 手机 屏幕 指纹 解锁 几次 返回 指纹锁 不好
__label__2 , 裙子 打算 满意 面料 不怎么样
__label__2 , 手机 屏幕 开机
__label__1 , 用户 未填写 评价 内容
__label__2 , 一点 满意
__label__2 , 没法 评价 感觉 手机 没用 屏幕 一条 横线 老子
__label__2 , 欺诈 消费者
__label__2 , 手机 样子 快递 签收 查不到 物理 评论 评论
__label__2 , 时间 换小卡 刚用 不到 星期 短信 声音 时不时 打电话 声音 垃圾 垃圾 客服 超过 十五天 退货
__label__2 , 这款 手机 谨慎 卖家 服务 特差 hellip hellip hellip hellip 说话 强势 一星 卖家
__label__2 , 不到 礼拜 降价 300 下单 下单
__label__2 , 鞋底 踏马 心情 差评
__label__1 , 女朋友 喜欢 60% 电量 充电 时有 电流
__label__2 , 发货 晚上 客服 不理 半才 老师 资料 不爽 Delta acute
__label__2 , 一个月 300 历史 罕见 估计 手机 入手 三思 华为 系统 真的 小米 魅族 设计 人性化 听说 部有 屏幕 摔坏 屏幕 劣质
__label__2 , sb 京东 保价 半个 老子 退钱 回事
__label__1 , 宝贝 收到 上脚 舒服 异味 好评
__label__1 , 公司 品牌
__label__2 , 手机 舒服 买不到 一个月 三百 哪有 太坑 激活
__label__2 , 包装 发生
__label__2 , 一颗 不想 智能 语音 赠品 搞笑 前天 买手机 降价 赠品 价格 想要 保价 赠品 保价 东西 卖不出去 强行 手机 退还 捆绑 销售 手段 hellip hellip 差评 差评
__label__1 , 笔记本电脑 秒杀 购买 电脑 X1 系列 性价比 一款 质量 超轻 出差 利器 机器 性能 优异 反应速度 静音 散热 效果 满意
__label__1 , 
__label__2 , 产品 差得 描述 回复 态度 快递 速度 慢得 差差 差差
__label__2 , 质量 很差 一个月 不到 手机 充不 好几个 数据线 充电器
__label__1 , 衣衣 舒适 漂亮 质量 老板 服务 价格合理 下次 还会 购买 喜欢 入手
__label__2 , 第一次 标配 不带 耳机 不带 耳机 标配 款式 手机 标配 概念 ldquo 标准 rdquo 体现 眼瞎 看清楚 包装 清单 我认 下次 荣耀
__label__1 , 好几年 没买 小米 机子 这红米 note 惊喜
__label__2 , 刚买 降价 实在 无语 对得起 消费者
__label__1 , 两双 女士 一双 商家 服务 留给
__label__1 , 电脑 外观 不错 性能 稳定 礼包 实用
__label__1 , 外观 不错 拍照 价位 上千 蚊机
__label__1 , 笔记本电脑 质量 价格 稍微 配备 无线 鼠标 更好
__label__1 , 评价 合脚 穿着 舒服
__label__1 , 屏幕 漂亮 时尚 iPhoneX 手机 手机 速度 很快 6g 内存 8g
__label__1 , 
__label__2 , 三期 免息 额外 费用
__label__2 , 电脑 本来 打算 组装 电脑 听说 买个 品牌机 放心 质量 选择 惠普 电脑 刚买 两天 电脑 开关 视频 黑屏 客服 电话 没人接 忙碌 只能 解决 恢复 出厂 设置 电脑 机械 硬盘 笔记本 还卡 桌面 点击 右键 无限 等待 卡死 恢复 出厂 设置 依旧 想要 退货 客服 联网 激活 退货 啧啧 品牌机 惠普 价格 配件 组装 有人 评论 组装 电脑 千万别 配件 找个 实体店 组装 品牌机 保修 真出 售后 客服 动手 解决 死心 这辈子 惠普 产品 也许 好几万 好评 确实 运气 电脑 运气 不好 难过 办法
__label__1 , 运行 发票 难受 裸机 难受
__label__2 , 手机 发烫 超级 随便 开个 发烫 几张 照片 手机 烫手 灯光 显得 皮肤 超级 有时候 还会 卡顿 指纹 人脸 灵敏
__label__1 , 手机 流弊 送给 媳妇 媳妇 喜欢
__label__1 , 好评 面料 舒服 透气 做工 精细 休闲 大方 百搭款 物美价廉 五星 好评
__label__1 , 手机 终于 第一次 京东 东西 手机 未激活 先用
__label__2 , 差差 差差 差差 差差 差差 差差 差差 差差 差差 差差 差差 差差 差差
__label__2 , 电脑 不送 转换头 电脑主机 东西 页面 客服 告知 家里 显示器 牌子 客服 态度 问个问题 分钟 一句 只管 收钱 垃圾 京东 旗舰店
__label__1 , 宝贝 收到 发现 实物 图片 漂亮 喜欢 质量 一百个
__label__2 , 差评
__label__2 , 没买 一大块 忽悠 忽悠
__label__1 , 舒服 换货 很快
__label__1 , 一个多 星期 蓝屏
__label__2 , 下载 删除 等待 时间 闪屏
__label__1 , 
__label__1 , 款式 大方 时尚 上脚 舒适 物流 满意
__label__2 , 服务态度 极差
__label__2 , 到家 出毛病 真心 满意 耳机 耳机 模式 打电话 声音
__label__1 , 主贝 收到 很漂亮 质量 喜欢
__label__2 , 手机信号 喇叭 不好 声音 一阵 一阵
__label__1 , 超级 好好 好好 京东 给力 快递 员点
__label__2 , 新买 手机 短信 接收 发送 验证码 收不到 关机 重开 收到 短信 客服 机器人
__label__2 , 鞋送
__label__2 , 宝贝 收到 卖家 发货 快递 送货 挺快 老年人 手机 小巧 声音 购物 满意 谢谢 卖家 hellip hellip
__label__1 , 卖家 服务态度 真的 点个 好评
__label__2 , 我要 金色 樱桃红
__label__2 , 腊鸡 手机 闪存 最差 玩个 微信 卡住
__label__1 , 
__label__1 , 喜欢 电脑 满意 购物 喜欢 超爱
__label__1 , 手机 不错 系统 流畅 拍张 清晰
__label__1 , 修身 裤子
__label__2 , 客观 发热量 上部 烫手 手持 天气 环境温度 不高 噪音 按理说 风扇 转速 利于 散热 温度 降下来 噪音 电池 续航 时间 广告宣传 小时 亮度 office 文件 半小时 充电 第一次 充电 很快 再也 情况 充电 小时 充满 有时候 开机 开机 优点 rface 便宜 rface pro 感觉 近期 开机 小时 屏幕 抖动 联想 朋友 劝别 联想 质量 不行 心想 品牌 眼镜 心目 联想 上网 新浪 科技 ldquo 联想 沦为 全球 最差 科技股 恒指 联想集团 股价 跌幅 超过 世界 一家 科技 公司 下跌 2009 最低水平 rdquo 机器 自带 系统 office 退货 泪奔
__label__2 , 手机 只能 孩子 老人 屏幕
__label__2 , 买回来 第二天 发现 晃动 手机 摄像头 异响 零件 固定 换货 一周 检测 出差 没法 收货 体验 极差 不在乎 客户 体验 追求 商品质量 追求 利益 不像 京东
__label__1 , 性价比 不错 玩游戏 发热
__label__2 , 差差 拿到 手机 下载 几个 常用软件 QQ 微信 hellip hellip 音乐 歌词 手机卡 机了 本想 刚用 想要 一张 推荐 用户 一张 公积金 客服 理由 张卡值 检测 hellip hellip 承诺 理由 退货 骗人 手机 不好 边框 旁边 感应 两边 玩游戏 出错 hellip hellip 一颗 心是 顺丰 快递
__label__2 , 买个 手机 连卡 装不起 针装卡
__label__2 , 安卓机 皇不做 赘述 一星 申领 会员 优惠 礼品
__label__2 , 写下 有史以来 第一个 差评 买手机 苹果 实体 店里 网上 东西 自营 正品 保障 差评 商家 恶意 想过 好评 物品 私下 免费送 东西 经历 2018.4 手机 到货 苹果 六刚 用到 真的 手机 密码 解锁 实在 太卡 拖动 软件 要死 申请 换货 售后 升级 告诉 升级 脑子 升级 新手机 寄回 接到 电话 手机 开心 售后 检测 回来 噩梦 疏忽 转换头 寄回 发送到 售后 抽出 再寄 手机 武汉 阳逻 客服 回答 手机 签收 情况 人理 反反复复 起码 二十 客服 打顺 丰问 手机 短信 电话 没收 重点 两个 手机 拿到 手上 感觉 手机 设置 手机 设置 体会
__label__2 , 问问 诺基亚 手机 垃圾 一批 不到 一个月 感觉 手机
__label__1 , 鞋子 版型 好看 穿着 特别 舒服 价格 实惠 放心 购买
__label__1 , 
__label__2 , 物流 电脑 颜值 处理器 很坑 开机 太慢 后悔 不值
__label__2 , 差评 打个 王者 荣耀 断触 不用 打着 屏幕 玩个 李白 机都 硬件 系统 1000 多块 买来 有时候 打会 游戏 告诉 我断 触屏 打游戏 日常 买个 几百 手机 办法 小米 手机
__label__2 , 垃圾
__label__2 , 加大 两件 质量
__label__2 , 建议 购买 不到 一个月 音量 机键 失灵 重启 选项 回到 照片 界面 机子 没压 失望
__label__2 , 一个月 第一次 京东 失望 快递 重点 别买 骗人 小狗
__label__2 , 真的 客服 失望
__label__1 , 手机 性能 速度 挺快 行货
__label__1 , 收到 爷爷 暂时
__label__2 , 两个 单键 返回
__label__1 , 鞋子 质量
__label__2 , 心塞
__label__2 , 特别 垃圾 先是 数据线 接触不良 卡死
__label__1 , 红色 算是 个性 送给 妹妹 当作 大学 礼物
__label__2 , 最差 音质 声音 刺耳 山寨 没什么 差别 系统 流畅 屏幕 色彩 偏红 机子 亮点 音质 不用 选择
__label__1 , 感觉 性价比 办公 学生 上网 视频 文档 512GB 固态 硬盘 4G 内存 稍微 办公 应付 正版 WIN10 系统 不错
__label__1 , 点亮 客服 耐心 开机 超快 价格 配置 很值
__label__2 , 标配 6g 系运存 剩余 运存 担心 剩下 1.6 内存 王者 游戏 形式 手机 淘汰 最气 钢化 套餐 恶心 打着 原装 钢化 商铺 东西 看着 区别 能防 蓝光 一百块 干嘛 嘲讽 东西 90% 智商 一加 牌子 100% 好评 一个个 电话 叠起来 mmp 算了 质量 第一次 撕下来 第二次 空气 心情 不好
__label__1 , 不错 检测 硬盘 软件
